,state,District,Transaction_amount
0,telangana,hyderabad district,1753800000000.0
1,telangana,hyderabad district,1586050000000.0
2,karnataka,bengaluru urban district,1092080000000.0
3,karnataka,bengaluru urban district,1013930000000.0
4,karnataka,bengaluru urban district,930886000000.0
5,karnataka,bengaluru urban district,837939000000.0
6,telangana,hyderabad district,775909000000.0
7,karnataka,bengaluru urban district,755926000000.0
8,telangana,hyderabad district,661513000000.0
9,rajasthan,jaipur district,635459000000.0
