,state,Transaction_type,Transaction_amount
0,telangana,Peer-to-peer payments,2393380000000.0
1,telangana,Peer-to-peer payments,2170170000000.0
2,maharashtra,Peer-to-peer payments,1622620000000.0
3,telangana,Peer-to-peer payments,1580010000000.0
4,maharashtra,Peer-to-peer payments,1501200000000.0
5,karnataka,Peer-to-peer payments,1468090000000.0
6,karnataka,Peer-to-peer payments,1457330000000.0
7,maharashtra,Peer-to-peer payments,1434570000000.0
8,telangana,Peer-to-peer payments,1375290000000.0
9,karnataka,Peer-to-peer payments,1282600000000.0
