,State,Year,Quater,District,Transaction_count,Transaction_amount
3586,lakshadweep,2018,1,682552.0,2,60.25276276346384
3626,lakshadweep,2019,2,682554.0,5,1842.5646639571864
3593,lakshadweep,2018,2,682554.0,8,3622.7656284776417
3585,lakshadweep,2018,1,682558.0,17,4038.940558349512
3642,lakshadweep,2019,4,682558.0,14,6582.465747216878
3602,lakshadweep,2018,3,682554.0,12,9767.030109748282
3610,lakshadweep,2018,4,682554.0,4,13383.950608090268
3594,lakshadweep,2018,2,682558.0,7,15140.219130735284
3634,lakshadweep,2019,3,682558.0,9,15248.965581715916
3618,lakshadweep,2019,1,682554.0,19,39957.8540222548
