,code,Latitude,Longitude,Transaction_count,Transaction_amount,State
0,AN,10.0001051,93.0000194,7747331,18994709086.598083,Andaman & Nicobar
1,AD,15.9240905,80.1863809,5321987775,11584751709187.836,Andhra Pradesh
2,AR,28.0937702,94.5921326,27274484,70543242969.68097,Arunachal Pradesh
3,AS,26.4073841,93.2551303,528422472,1100828258045.8904,Assam
4,BR,25.6440845,85.906508,2745429444,5649345088706.721,Bihar
5,CH,30.72984395,76.78414567016054,90820816,160799555158.68613,Chandigarh
6,CG,21.6637359,81.8406351,941074354,1468349999500.8174,Chhattisgarh
7,DNHDD,20.71817495,70.93238341010638,43966520,57343059311.11563,Dadra and Nagar Haveli and Daman and Diu
8,DL,28.6517178,77.2219388,3274904754,5111844076155.952,Delhi
9,GA,15.3004543,74.0855134,98849639,160566288631.30322,Goa
10,GJ,22.3850051,71.745261,2052224247,3625037788890.369,Gujarat
11,HR,29.0,76.0,1870596824,3264982489119.905,Haryana
12,HP,31.81676015,77.34932051968858,170818031,284699619220.4002,Himachal Pradesh
13,JK,32.7185614,74.8580917,164904607,344701121864.73096,Jammu & Kashmir
14,JH,23.4559809,85.2557301,1008027640,1706199321996.9204,Jharkhand
15,KA,14.5203896,75.7223521,9570042576,13874332400299.377,Karnataka
16,KL,10.3528744,76.5120396,822459542,1228493669465.1377,Kerala
17,LA,33.9456407,77.6568576,7123601,23042534353.102135,Ladakh
18,LD,10.8132489,73.6804620941119,166804,495222951.77714705,Lakshadweep
19,MP,23.8143419,77.5340719,4463695860,7026999292814.815,Madhya Pradesh
20,MH,18.9068356,75.6741579,10389479956,14771332714776.674,Maharashtra
21,MN,24.7208818,93.9229386,45147601,118933382882.7436,Manipur
22,ML,25.5379432,91.2999102,20197849,47703059453.48494,Meghalaya
23,MZ,23.2146169,92.8687612,5796340,17494078054.331387,Mizoram
24,NL,26.1630556,94.5884911,17180851,48933677248.69928,Nagaland
25,OD,20.5431241,84.6897321,2561254352,4087671271594.6177,Odisha
26,PY,10.91564885,79.80694879844232,59384639,99110061596.26512,Puducherry
27,PB,30.9293211,75.5004841,582273955,1164042246844.2927,Punjab
28,RJ,26.8105777,73.7684549,5130073858,9110359753665.238,Rajasthan
29,SK,27.601029,88.45413638680145,18750367,42941467442.849464,Sikkim
30,TN,10.9094334,78.3665347,2742806151,4700872137057.532,Tamil Nadu
31,TS,17.8495919,79.1151663,9143814959,16522924338545.32,Telangana
32,TR,23.7750823,91.7025091,32364668,63058503423.463066,Tripura
33,UP,27.1303344,80.859666,4636625871,8179116124944.863,Uttar Pradesh
34,UK,30.0417376,79.089691,440122775,699176537087.3169,Uttarakhand
35,WB,22.9964948,87.6855882,2687915807,4969909303386.683,West Bengal
